SISENSE_PRODUCT_ROLLUP_MAP,DIRECT_ECOMM_MAP,LOOKUP_MAP_UPPER,PROFORMA_LOOKUP_UPPER,SFDC_LOOKUP_UPPER,SFDC_OPEN_PIPE_LOOKUP_UPPER,DIRECT_INDIRECT,CORE_NONCORE,PBT_GROUP,AI,PRODUCT_FOR_REPORTING,PRODUCT_NAME,PRODUCT_PARENT,PRODUCT_NAME_GROUP,PRODUCT_HUB,PRODUCTGROUP,PRODUCT_FOR_REPORTING_NS,PRODUCT_FOR_REPORTING_GROUP_NS,PRODUCT_FOR_REPORTING_NS_ALIAS,PRODUCT_FOR_REPORTING_NS_ALIAS_COMBINED,PRODUCT_GROUP_MAP
RAPI Performance,Direct,RAPI PERFORMANCE_DIRECT,RAPI PERFORMANCE,READYAPI PERF,READYAPI PERF,Direct,Core,ReadyAPI,No,ReadyAPI Perf,ReadyAPI Perf,RAPI Performance,API,Ready API,ReadyAPI Performance,ReadyAPI Perf,API Lifecycle,ReadyAPI Perf,ReadyAPI Perf Direct,API Lifecycle
RAPI Test,Direct,RAPI TEST_DIRECT,RAPI TEST,READYAPI TEST,READYAPI TEST,Direct,Core,ReadyAPI,No,ReadyAPI Test,ReadyAPI Test,RAPI Test,API,Ready API,ReadyAPI Test,ReadyAPI Test,API Lifecycle,ReadyAPI Test,ReadyAPI Test Direct,API Lifecycle
RAPI Virtualization,Direct,RAPI VIRTUALIZATION_DIRECT,RAPI VIRTUALIZATION,READYAPI VIRT,READYAPI VIRT,Direct,Core,ReadyAPI,No,ReadyAPI Virt,ReadyAPI Virt,RAPI Virtualization,API,Ready API,ReadyAPI Virtualization,ReadyAPI Virt,API Lifecycle,ReadyAPI Virt,ReadyAPI Virt Direct,API Lifecycle
Reflect,Direct,REFLECT_DIRECT,REFLECT DIRECT,REFLECT,REFLECT,Direct,Core,Reflect,AI Native,Reflect Direct,Reflect Direct,Reflect,Test Hub,Test Hub,Reflect,Reflect,Test Management,Reflect,Reflect Direct,Test Management
Reflect,Ecomm,REFLECT_ECOMM,REFLECT ECOMM,,REFLECT,Indirect - Ecomm,Core,Reflect,AI Native,Reflect Ecomm,Reflect Ecomm,Reflect,Test Hub,Test Hub,Reflect,Reflect,Test Management,Reflect,Reflect Ecomm,Test Management
Reflect Direct,Direct,REFLECT DIRECT_DIRECT,,,,Direct,Core,Reflect,No,Reflect Direct,Reflect Direct,Reflect,Test Hub,Test Hub,Reflect,Reflect,Test Management,Reflect,Reflect Direct,Test Management
Reflect Ecomm,Ecomm,REFLECT ECOMM_ECOMM,,,,Indirect - Ecomm,Core,Reflect,No,Reflect Ecomm,Reflect Ecomm,Reflect,Test Hub,Test Hub,Reflect,Reflect,Test Management,Reflect,Reflect Ecomm,Test Management
Squad,Ecomm,SQUAD_ECOMM,ZEPHYR SQUAD,,,Indirect - Atlassian,Core,Atlassian,No,Zephyr Squad,Zephyr Squad,Zephyr Squad,Marketplace,Test Management,Zephyr Squad,Zephyr Squad,Test Management,Zephyr Squad,Zephyr Squad Ecomm,Test Management
Squad,Direct,SQUAD_DIRECT,ZEPHYR SQUAD,,,Indirect - Atlassian,Core,Atlassian,No,Zephyr Squad,Zephyr Squad,Zephyr Squad,Marketplace,Test Management,Zephyr Squad,Zephyr Squad,Test Management,Zephyr Squad,Zephyr Squad Ecomm,Test Management
Stoplight,Direct,STOPLIGHT_DIRECT,STOPLIGHT DIRECT,STOPLIGHT,STOPLIGHT,Direct,Core,Swagger,No,Stoplight,Stoplight Direct,Stoplight,API,API Hub,Stoplight,Stoplight,API Lifecycle,Stoplight,Stoplight Direct,API Lifecycle
